ECG,IMP,Z0
-64.69604,-92076.90000,44.45200
-63.17019,-77078.21000,44.45200
-62.55985,-64048.46000,44.45200
-61.03400,-51018.71000,44.45200
-52.48924,-39147.16000,44.45200
-46.69101,-28723.36000,44.45200
-48.82720,-19023.43500,44.45200
-43.33414,-9642.01500,44.45200
-33.26353,-2084.76000,44.45200
-31.43251,5530.40500,44.45200
-31.43251,12190.05500,44.45200
-25.93945,16185.84500,44.45200
-12.81714,20587.00500,44.45200
-5.18789,23829.96500,44.45200
-4.88272,26493.82500,44.45200
-1.83102,28491.72000,44.45200
9.46027,29881.56000,44.45200
14.95333,31445.13000,44.45200
10.68095,32806.01500,44.45200
7.01891,32632.28500,44.45200
9.76544,32226.91500,44.45200
8.54476,31474.08500,44.45200
4.57755,28955.00000,44.45200
1.83102,25422.49000,44.74800
2.44136,22208.48500,44.74800
-8.84993,17981.05500,44.74800
-14.03782,13174.52500,44.74800
-11.59646,7036.06500,44.74800
-9.15510,260.59500,44.74800
-13.42748,-5964.73000,44.74800
-14.95333,-13753.62500,44.74800
-9.76544,-23366.68500,44.74800
-9.15510,-33529.89000,44.74800
-7.93442,-42650.71500,44.74800
-7.93442,-53450.93000,44.74800
-9.76544,-63382.49500,44.74800
-4.88272,-72416.45500,44.74800
-1.22068,-78960.28500,44.74800
-6.40857,-83332.49000,44.74800
-8.23959,-87386.19000,44.74800
5.79823,-90744.97000,44.74800
5.49306,-93495.69500,44.74800
-7.01891,-96622.83500,44.74800
-12.51197,-98881.32500,44.74800
-5.18789,-100850.26500,44.74800
-2.74653,-103427.26000,44.74800
-5.18789,-105048.74000,44.74800
-9.46027,-106351.71500,44.74800
-7.93442,-107249.32000,44.74800
-8.54476,-106786.04000,44.74800
-14.34299,-106177.98500,44.74800
-12.81714,-104990.83000,44.74800
13.42748,-103340.39500,44.74800
53.70992,-101371.45500,44.74800
125.73004,-98736.55000,44.74800
238.94811,-95146.13000,44.74800
328.05775,-90542.28500,44.74800
383.59869,-85938.44000,44.74800
347.89380,-81537.28000,44.74800
